Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""2f0b3aa9-b433-4063-afca-9b304cc8bcc9""","""Pay-As-You-Go""","""b490c95c-c8de-4272-afe4-88a9c799045e""","""Pay-As-You-Go""",12,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Table Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.02710000,0.00000000,0,0.02710000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Table Scan Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00420000,0.00000000,0,0.00420000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Services""","""Cosmos DB""","""100 Request Units (Hours)""","""US West""","""8YD-00001""","""Hours""",1842.00000000,0.00000000,0,1842.00000000,USD,0,0,0.0080021715526601520086862106,$14.74 USD
201807(6/12/2018 - 7/11/2018),"""Data Services""","""Cosmos DB""","""Storage (GB)""","""US West""","""8YD-00001""","""GB""",0.02822589,0.00000000,0,0.02822589,USD,0,0,0.3542846656031041005261481569,$0.01 USD
201807(6/12/2018 - 7/11/2018),"""Data Services""","""Cosmos DB""","""100 Request Units (Hours)""",,"""8YD-00001""","""Hours""",1846.00000000,0.00000000,0,1846.00000000,USD,0,0,0.00800108342361863488624052,$14.77 USD
201807(6/12/2018 - 7/11/2018),"""Business Analytics""","""Azure Data Catalog""","""Users""",,"""7UD-00001""","""1 User""",0.61290314,0.00000000,0,0.61290314,USD,0,0,0.995263297231598454529046792,$0.61 USD
201807(6/12/2018 - 7/11/2018),"""Business Analytics""","""Data Lake Store""","""Read Transactions (in 1,000,000s)""",,"""7UD-00001""","""1M Transactions""",0.01131700,0.00000000,0,0.01131700,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Business Analytics""","""Data Lake Store""","""Write Transactions (in 1,000,000s)""",,"""7UD-00001""","""1M Transactions""",0.00223800,0.00000000,0,0.00223800,USD,0,0,4.4682752457551385165326184093,$0.01 USD
201807(6/12/2018 - 7/11/2018),"""Virtual Machines""","""Standard_D4_v3 VM (Windows)""","""Compute Hours""","""US West""","""7UD-00001""","""Hours""",12.00004000,0.00000000,0,12.00004000,USD,0,0,0.4183319388935370215432615225,$5.02 USD
201807(6/12/2018 - 7/11/2018),"""Networking""","""VPN Gateway""","""VpnGw1""",,"""7UD-00001""","""Hours""",173.91666700,0.00000000,0,173.91666700,USD,0,0,0.1899760418016750516498801118,$33.04 USD
201807(6/12/2018 - 7/11/2018),"""Container Registry""","""Standard""","""Registry Unit""",,"""7UD-00001""","""Day""",0.39457000,0.00000000,0,0.39457000,USD,0,0,0.6589451808297640469371721114,$0.26 USD
201807(6/12/2018 - 7/11/2018),"""Storage""",,"""Standard IO - Queue Class 1 Operation Units""",,"""7UD-00001""","""10K Operations""",0.00020000,0.00000000,0,0.00020000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Storage""","""Geo Redundant""","""Standard IO - Queue Class 1 Operation Units""",,"""7UD-00001""","""10K Operations""",0.00010000,0.00000000,0,0.00010000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""App Services""",,"""Log Analytics Data Ingestion""","""US South Central""","""9YD-00001""","""1 GB""",0.00000934,5.00000000,0,0.0,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Storage""","""Locally Redundant""","""Premium Managed Disks/P10 (Units)""","""US West""","""7UD-00001""","""Units""",0.15052800,0.00000000,0,0.15052800,USD,0,0,19.730548469387755102040816327,$2.97 USD

Daily Usage
Usage Date,Meter Category,Meter Id,Meter Sub-category,Meter Name,Meter Region,Unit,Consumed Quantity,Resource Location,Consumed Service,Resource Group,Instance Id,Tags,Additional Info,Service Info 1,Service Info 2
6/12/2018,"""Storage""","""e9549cbe-02d9-4213-b4be-22d6dfe8a3af""","""Locally Redundant""","""Premium Storage - Page Blob/P10 (Units)""","""US West""","""Units""",0.001389,"""uswest""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/disks/ependysis_OsDisk_1_2b38d7f47ec74cd8a435155b4b732392""","""{}""","""{}""",,
6/12/2018,"""Data Management""","""9cb0bde8-bc0d-468c-8423-a25fe06779d3""",,"""Standard IO - Table Write Operation Units (in 10,000s)""",,"""10,000s""",0.0005,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/12/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.059841,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":"""",""VMName"":"""",""VMProperties"":"""",""UsageType"":""DataTrOut""}""",,
6/12/2018,"""Virtual Machines""","""d101de3e-ae70-48bb-8605-64fcd0a3ce8f""","""Standard_D4_v3 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",0.766682,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":""Standard_D4s_v3"",""VMName"":"""",""VMProperties"":"""",""UsageType"":""ComputeHR""}""",,
